vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,vehicle_age_days,km_per_day_in_service,deliveries_assigned,incidents_per_100,failure_rate
V001,EV,North,2024-12-28 23:48:00,71.8,56928,Active,v2.2,368,154.69565217391303,10,40.0,0.0
V002,EV,Airport,2024-04-21 16:14:00,67.9,159368,InRepair,v2.2,619,257.4604200323102,8,12.5,0.5
V003,CargoVan,North,2025-11-24 23:59:00,91.7,219359,Active,v2.1,37,5928.621621621622,1,100.0,0.0
V004,Hybrid,Riverside,2024-06-07 13:21:00,,36310,Active,v2.2,572,63.47902097902098,10,10.0,0.1
V005,CargoVan,West,2025-11-15 11:08:00,58.6,146638,Active,v2.2,46,3187.782608695652,13,38.46153846153847,0.15384615384615385
V006,EV,Central,2025-11-22 06:39:00,78.6,141381,Active,v2.1,39,3625.153846153846,9,33.33333333333333,0.0
V007,Diesel,Airport,2025-09-17 08:52:00,68.6,78468,Active,v2.2,105,747.3142857142857,9,22.22222222222222,0.2222222222222222
V008,EV,Riverside,2025-06-14 03:47:00,90.5,49711,Active,v2.0,200,248.555,9,22.22222222222222,0.0
V009,CargoVan,South,2025-05-01 08:50:00,68.8,156687,Active,v2.1,244,642.1598360655738,9,44.44444444444444,0.0
V010,CargoVan,North,2025-10-07 22:40:00,50.7,129032,InRepair,v2.1,85,1518.0235294117647,7,28.57142857142857,0.14285714285714285
V011,Diesel,Riverside,2025-12-21 04:26:00,74.1,43518,InRepair,v2.1,10,4351.8,3,0.0,1.0
V012,Hybrid,South,2024-04-15 00:26:00,56.2,52021,Active,v2.1,625,83.2336,9,33.33333333333333,0.1111111111111111
V013,CargoVan,West,2025-07-17 18:07:00,68.3,153106,Scheduled,v2.0,167,916.8023952095808,10,10.0,0.0
V014,EV,Airport,2025-05-24 12:36:00,100.0,206339,Scheduled,v2.0,221,933.6606334841629,7,42.857142857142854,0.0
V015,CargoVan,Airport,2024-06-02 13:54:00,78.2,67614,InRepair,v1.9,577,117.18197573656846,5,20.0,0.2
V016,EV,West,2024-10-13 19:38:00,63.5,84395,Active,v2.1,444,190.07882882882882,9,22.22222222222222,0.1111111111111111
V017,Hybrid,Riverside,2024-04-23 12:54:00,82.4,169703,InRepair,v2.2,617,275.04538087520257,12,16.666666666666664,0.4166666666666667
V018,Diesel,Riverside,2025-04-08 22:29:00,86.8,98363,Scheduled,v2.1,267,368.4007490636704,6,16.666666666666664,0.16666666666666666
